Code,Indicator Name,Long definition,Source
IBEVERAGES,"Agr: Beverages, 2000=100, current$","Beverages index includes cocoa, coffee and tea.",World Bank.
KIBEVERAGES,"Agr: Beverages, 2000=100, constant 2000$",,World Bank.
IFOOD,"Agr: Food, 2000=100, current$","Food index includes fats and oils, grains and other food items.",World Bank.
KIFOOD,"Agr: Food, 2000=100, constant 2000$",,World Bank.
IFATS_OILS,"Agr: Food: Fats and oils, 2000=100, current$","Fats and oils index includes coconut oil, groundnut oil, palm oil, soybeans, soybean oil and soybean meal.",World Bank.
KIFATS_OILS,"Agr: Food: Fats and oils, 2000=100, constant 2000$",,World Bank.
IGRAINS,"Agr: Food: Grains, 2000=100, current$","Grains index includes barley, maize, rice and wheat.",World Bank.
KIGRAINS,"Agr: Food: Grains, 2000=100, constant 2000$",,World Bank.
IOTHERFOOD,"Agr: Food: Other food, 2000=100, current$","Other food index includes bananas, beef, chicken meat, oranges and sugar.",World Bank.
KIOTHERFOOD,"Agr: Food: Other food, 2000=100, constant 2000$",,World Bank.
IRAW_MATERIAL,"Agr: Raw materials, 2000=100, current$",Agricultural raw materials index includes timber and other raw materials.,World Bank.
KIRAW_MATERIAL,"Agr: Raw materials, 2000=100, constant 2000$",,World Bank.
ITIMBER,"Agr: Raw:1 Timber, 2000=100, current$",Timber index includes tropical hard logs and sawnwood.,World Bank.
KITIMBER,"Agr: Raw:1 Timber, 2000=100, constant 2000$",,World Bank.
IOTHERRAWMAT,"Agr: Raw:2 Oth raw materials, 2000=100, current$","Other raw materials index includes cotton, natural rubber and tobacco.",World Bank.
KIOTHERRAWMAT,"Agr: Raw:2 Other raw materials, 2000=100, constant 2000$",,World Bank.
IAGRICULTURE,"Agriculture, 2000=100, current$","Agriculture index includes beverages, food and agricultural raw materials.",World Bank.
KIAGRICULTURE,"Agriculture, 2000=100, constant 2000$",,World Bank.
ALUMINUM,"Aluminum, $/mt, current","Aluminum (LME) London Metal Exchange, unalloyed primary ingots, high grade, minimum 99.7% purity, settlement price beginning 2005; previously cash price","Platts Metals Week, Thomson Reuters Datastream; World Bank."
KALUMINUM,"Aluminum, $/mt, constant 2000$",,World Bank.
BANANA_EU,"Bananas, EU, $/mt, current","Bananas (Central & South America), major brands, c.i.f. Hamburg",Sopisco News; Union of Banana-Exporting Countries (UPEB); Food and Agricultural Organization; US Bureau of Labor Statistics; World Bank.
KBANANA_EU,"Bananas, EU, $/mt, constant 2000$",,World Bank.
BANANA_US,"Bananas, US, $/mt, current","Bananas (Central & South America), major brands, US import price, free on truck (f.o.t.) US Gulf ports",Sopisco News; Union of Banana-Exporting Countries (UPEB); Food and Agricultural Organization; US Bureau of Labor Statistics; World Bank.
KBANANA_US,"Bananas, US, $/mt, constant 2000$",,World Bank.
BARLEY,"Barley, $/mt, current","Barley (Canada), feed, Western No. 1, Winnipeg Commodity Exchange, spot, wholesale farmers' price",Bloomberg; World Bank.
KBARLEY,"Barley, $/mt, constant 2000$",,World Bank.
IMETMIN_DV100,"Base Metals, 2000=100, current$","Base Metals index includes aluminum, copper, lead, nickle, tin and zinc, excludes iron ore.",World Bank.
KIMETMIN_DV100,"Base Metals, 2000=100, constant 2000$",,World Bank.
COAL_AUS,"Coal, Australia, $/mt, current","Coal (Australia), thermal, f.o.b. piers, Newcastle/Port Kembla, 6,300 kcal/kg (11,340 btu/lb), less than 0.8%, sulfur 13% ash beginning January 2002; previously 6,667 kcal/kg (12,000 btu/lb), less than 1.0% sulfur, 14%  ash",Coal Week International; Coal Week; World Bank.
KCOAL_AUS,"Coal, Australia, $/mt, constant 2000$",,World Bank.
COCOA,"Cocoa, cents/kg, current","Cocoa (ICCO), International Cocoa Organization daily price, average of  the first three positions on the terminal markets of New York and London, nearest three future trading months.",International Cocoa Organization Secretariat; World Bank.
KCOCOA,"Cocoa, cents/kg, constant 2000$",,World Bank.
COCONUT_OIL,"Coconut oil, $/mt, current","Coconut oil (Philippines/Indonesia), bulk, c.i.f. Rotterdam","ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank."
KCOCONUT_OIL,"Coconut oil, $/mt, constant 2000$",,World Bank.
